Track,Count,Percentage
"四川,成都(提货)->四川,南充(卸货)",16,0.0006008938295714876
"安徽,芜湖(提货)->四川,成都(卸货)",16,0.0006008938295714876
"天津,天津(提货)->山西,朔州(卸货)",16,0.0006008938295714876
"广东,中山(提货)->广西,玉林(卸货)",15,0.0005633379652232696
"安徽,芜湖(提货)->浙江,金华(卸货)",15,0.0005633379652232696
"广东,中山(提货)->陕西,安康(卸货)",15,0.0005633379652232696
"四川,成都(提货)->新疆,乌鲁木齐(卸货)",15,0.0005633379652232696
"河北,邢台(提货)->内蒙古,包头(卸货)",15,0.0005633379652232696
"广东,中山(提货)->江西,赣州(卸货)",15,0.0005633379652232696
"安徽,滁州(提货)->山东,威海(卸货)",15,0.0005633379652232696
"陕西,宝鸡(提货)->内蒙古,乌海(卸货)",15,0.0005633379652232696
"四川,成都(提货)->四川,凉山(卸货)",15,0.0005633379652232696
"陕西,宝鸡(提货)->湖南,常德(卸货)",15,0.0005633379652232696
"云南,昆明(提货)->四川,遂宁(卸货)",14,0.0005257821008750516
"广东,中山(提货)->安徽,合肥(卸货)",14,0.0005257821008750516
"广东,东莞(提货)->广东,佛山(卸货)",14,0.0005257821008750516
"广东,中山(提货)->海南,海口(卸货)",14,0.0005257821008750516
"上海,上海(提货)->河南,商丘(卸货)",14,0.0005257821008750516
"河北,衡水(提货)->天津,天津(卸货)",14,0.0005257821008750516
"四川,成都(提货)->四川,遂宁(卸货)",14,0.0005257821008750516
"山东,枣庄(提货)->广东,广州(卸货)",14,0.0005257821008750516
"四川,成都(提货)->山东,潍坊(卸货)",14,0.0005257821008750516
"浙江,宁波(提货)->湖北,武汉(卸货)",14,0.0005257821008750516
"天津,天津(提货)->江苏,南通(卸货)",14,0.0005257821008750516
"安徽,滁州(提货)->安徽,池州(卸货)",13,0.0004882262365268337
"安徽,芜湖(提货)->江苏,盐城(卸货)",13,0.0004882262365268337
"安徽,芜湖(提货)->江苏,常州(卸货)",13,0.0004882262365268337
"四川,成都(提货)->宁夏,银川(卸货)",13,0.0004882262365268337
"重庆,重庆(提货)->西藏,日喀则(卸货)",13,0.0004882262365268337
"安徽,马鞍山(提货)->安徽,宣城(卸货)",13,0.0004882262365268337
"陕西,西安(提货)->山西,吕梁(卸货)",12,0.0004506703721786157
"四川,成都(提货)->四川,广元(卸货)",12,0.0004506703721786157
"湖南,长沙(提货)->山西,运城(卸货)",12,0.0004506703721786157
"山东,济南(提货)->江苏,宿迁(卸货)",12,0.0004506703721786157
"陕西,宝鸡(提货)->安徽,亳州(卸货)",12,0.0004506703721786157
"江西,宜春(提货)->广东,佛山(卸货)",12,0.0004506703721786157
"广东,佛山(提货)->湖南,湘潭(卸货)",12,0.0004506703721786157
"广东,中山(提货)->湖南,郴州(卸货)",12,0.0004506703721786157
"安徽,芜湖(提货)->河南,郑州(卸货)",12,0.0004506703721786157
"江苏,苏州(提货)->浙江,衢州(卸货)",12,0.0004506703721786157
"宁夏,银川(提货)->新疆,昌吉(卸货)",12,0.0004506703721786157
"安徽,滁州(提货)->江苏,镇江(卸货)",12,0.0004506703721786157
"安徽,滁州(提货)->江苏,无锡(卸货)",12,0.0004506703721786157
"上海,上海(提货)->河南,开封(卸货)",12,0.0004506703721786157
"江西,宜春(提货)->北京,北京(卸货)",12,0.0004506703721786157
"浙江,宁波(提货)->湖南,邵阳(卸货)",12,0.0004506703721786157
"宁夏,银川(提货)->辽宁,沈阳(卸货)",12,0.0004506703721786157
"安徽,芜湖(提货)->湖北,武汉(卸货)",11,0.0004131145078303977
"宁夏,银川(提货)->河南,郑州(卸货)",11,0.0004131145078303977
"天津,天津(提货)->山东,青岛(卸货)",11,0.0004131145078303977
"浙江,宁波(提货)->安徽,芜湖(卸货)",11,0.0004131145078303977
"安徽,合肥(提货)->安徽,芜湖(卸货)",11,0.0004131145078303977
"陕西,宝鸡(提货)->宁夏,固原(卸货)",11,0.0004131145078303977
"江苏,扬州(提货)->江西,吉安(卸货)",11,0.0004131145078303977
"安徽,蚌埠(提货)->安徽,亳州(卸货)",11,0.0004131145078303977
"上海,上海(提货)->河南,周口(卸货)",11,0.0004131145078303977
"安徽,滁州(提货)->山东,青岛(卸货)",10,0.0003755586434821797
"陕西,西安(提货)->四川,成都(卸货)",10,0.0003755586434821797
"四川,凉山(提货)->四川,德阳(卸货)",10,0.0003755586434821797
"陕西,宝鸡(提货)->安徽,淮南(卸货)",10,0.0003755586434821797
"陕西,渭南(提货)->山东,日照(卸货)",10,0.0003755586434821797
"广东,清远(提货)->广东,江门(卸货)",10,0.0003755586434821797
"四川,德阳(提货)->湖南,娄底(卸货)",10,0.0003755586434821797
"四川,德阳(提货)->甘肃,兰州(卸货)",10,0.0003755586434821797
"安徽,滁州(提货)->湖南,长沙(卸货)",10,0.0003755586434821797
"广东,清远(提货)->陕西,西安(卸货)",10,0.0003755586434821797
"安徽,芜湖(提货)->河南,许昌(卸货)",10,0.0003755586434821797
"陕西,宝鸡(提货)->宁夏,中卫(卸货)",9,0.0003380027791339618
"安徽,芜湖(提货)->重庆,重庆(卸货)",9,0.0003380027791339618
"天津,天津(提货)->山西,运城(卸货)->山西,临汾(卸货)",9,0.0003380027791339618
"陕西,西安(提货)->陕西,咸阳(卸货)",9,0.0003380027791339618
"安徽,芜湖(提货)->浙江,绍兴(卸货)",9,0.0003380027791339618
"上海,上海(提货)->安徽,蚌埠(卸货)",9,0.0003380027791339618
"广东,中山(提货)->湖南,益阳(卸货)",9,0.0003380027791339618
"上海,上海(提货)->安徽,亳州(卸货)",9,0.0003380027791339618
"上海,上海(提货)->安徽,阜阳(卸货)",9,0.0003380027791339618
"河北,唐山(提货)->浙江,绍兴(卸货)",9,0.0003380027791339618
"上海,上海(提货)->江西,赣州(卸货)",9,0.0003380027791339618
"浙江,绍兴(提货)->江苏,南通(卸货)",9,0.0003380027791339618
"安徽,马鞍山(提货)->辽宁,沈阳(卸货)",9,0.0003380027791339618
"上海,上海(提货)->河南,洛阳(卸货)",9,0.0003380027791339618
